"","CountryCode","Ranking","CountryName","GDP_Millions_USD"
"1","ABW",72,"Aruba",2584
"2","AFG",10,"Afghanistan",20497
"3","AGO",149,"Angola",114147
"4","ALB",32,"Albania",12648
"5","ARE",118,"United Arab Emirates",348595
"6","ARG",111,"Argentina",475502
"7","ARM",41,"Armenia",9951
"8","ATG",84,"Antigua and Barbuda",1134
"9","AUS",26,"Australia",1532408
"10","AUT",112,"Austria",394708
"11","AZE",157,"Azerbaijan",66605
"12","BDI",73,"Burundi",2472
"13","BEL",110,"Belgium",483262
"14","BEN",49,"Benin",7557
"15","BFA",35,"Burkina Faso",10441
"16","BGD",147,"Bangladesh",116355
"17","BGR",166,"Bulgaria",50972
"18","BHR",185,"Bahrain",29044
"19","BHS",46,"Bahamas, The",8149
"20","BIH",17,"Bosnia and Herzegovina",17466
"21","BLR",158,"Belarus",63267
"22","BLZ",80,"Belize",1493
"23","BMU",58,"Bermuda",5474
"24","BOL",188,"Bolivia",27035
"25","BRA",159,"Brazil",2252664
"26","BRB",63,"Barbados",4225
"27","BRN",19,"Brunei Darussalam",16954
"28","BTN",78,"Bhutan",1780
"29","BWA",23,"Botswana",14504
"30","CAF",76,"Central African Republic",2184
"31","CAN",15,"Canada",1821424
"32","CHE",105,"Switzerland",631173
"33","CHL",122,"Chile",269869
"34","CHN",104,"China",8227103
"35","CIV",191,"Côte d'Ivoire",24680
"36","CMR",190,"Cameroon",25322
"37","COG",28,"Congo, Rep.",13678
"38","COL",116,"Colombia",369606
"39","COM",94,"Comoros",596
"40","CPV",77,"Cape Verde",1827
"41","CRI",172,"Costa Rica",45104
"42","CUB",156,"Cuba",68234
"43","CYP",7,"Cyprus",22767
"44","CZE",139,"Czech Republic",196446
"45","DEU",126,"Germany",3428131
"46","DMA",95,"Dominica",480
"47","DNK",119,"Denmark",314887
"48","DOM",162,"Dominican Republic",59047
"49","DZA",135,"Algeria",205789
"50","ECU",153,"Ecuador",84040
"51","EGY",124,"Egypt, Arab Rep.",262832
"52","ERI",69,"Eritrea",3092
"53","ESP",37,"Spain",1322965
"54","EST",8,"Estonia",22390
"55","ETH",176,"Ethiopia",41605
"56","FIN",130,"Finland",247546
"57","FJI",65,"Fiji",3908
"58","FRA",137,"France",2612878
"59","FSM",97,"Micronesia, Fed. Sts.",326
"60","GAB",14,"Gabon",18377
"61","GBR",148,"United Kingdom",2471784
"62","GEO",20,"Georgia",15747
"63","GHA",177,"Ghana",40711
"64","GIN",57,"Guinea",5632
"65","GMB",87,"Gambia, The",917
"66","GNB",88,"Guinea-Bissau",822
"67","GNQ",16,"Equatorial Guinea",17697
"68","GRC",129,"Greece",249099
"69","GRD",90,"Grenada",767
"70","GTM",167,"Guatemala",50234
"71","GUY",71,"Guyana",2851
"72","HKG",123,"Hong Kong SAR, China",263259
"73","HND",13,"Honduras",18434
"74","HRV",161,"Croatia",59228
"75","HTI",47,"Haiti",7843
"76","HUN",146,"Hungary",124600
"77","IDN",70,"Indonesia",878043
"78","IND",4,"India",1841710
"79","IRL",133,"Ireland",210771
"80","IRN",107,"Iran, Islamic Rep.",514060
"81","IRQ",134,"Iraq",210280
"82","ISL",29,"Iceland",13579
"83","ISR",127,"Israel",258217
"84","ITA",181,"Italy",2014670
"85","JAM",22,"Jamaica",14755
"86","JOR",184,"Jordan",31015
"87","JPN",115,"Japan",5959718
"88","KAZ",138,"Kazakhstan",203521
"89","KEN",178,"Kenya",40697
"90","KGZ",54,"Kyrgyz Republic",6475
"91","KHM",27,"Cambodia",14038
"92","KIR",101,"Kiribati",175
"93","KNA",90,"St. Kitts and Nevis",767
"94","KOR",59,"Korea, Rep.",1129598
"95","KSV",55,"Kosovo",6445
"96","KWT",144,"Kuwait",160913
"97","LAO",44,"Lao PDR",9418
"98","LBN",174,"Lebanon",42945
"99","LBR",79,"Liberia",1734
"100","LCA",83,"St. Lucia",1239
"101","LKA",160,"Sri Lanka",59423
"102","LSO",74,"Lesotho",2448
"103","LTU",175,"Lithuania",42344
"104","LUX",164,"Luxembourg",55178
"105","LVA",186,"Latvia",28373
"106","MAC",173,"Macao SAR, China",43582
"107","MAR",151,"Morocco",95982
"108","MCO",56,"Monaco",6075
"109","MDA",50,"Moldova",7253
"110","MDG",40,"Madagascar",9975
"111","MDV",75,"Maldives",2222
"112","MEX",48,"Mexico",1178126
"113","MHL",100,"Marshall Islands",182
"114","MKD",43,"Macedonia, FYR",9613
"115","MLI",36,"Mali",10308
"116","MLT",45,"Malta",8722
"117","MNE",61,"Montenegro",4373
"118","MNG",38,"Mongolia",10271
"119","MOZ",24,"Mozambique",14244
"120","MRT",64,"Mauritania",4199
"121","MUS",34,"Mauritius",10486
"122","MWI",62,"Malawi",4264
"123","MYS",120,"Malaysia",305033
"124","NAM",30,"Namibia",13072
"125","NER",53,"Niger",6773
"126","NGA",125,"Nigeria",262597
"127","NIC",33,"Nicaragua",10507
"128","NLD",91,"Netherlands",770555
"129","NOR",108,"Norway",499667
"130","NPL",12,"Nepal",18963
"131","NZL",143,"New Zealand",167347
"132","OMN",155,"Oman",69972
"133","PAK",131,"Pakistan",225143
"134","PAN",180,"Panama",36253
"135","PER",136,"Peru",203790
"136","PHL",128,"Philippines",250182
"137","PLW",99,"Palau",228
"138","PNG",21,"Papua New Guinea",15654
"139","POL",109,"Poland",489795
"140","PRI",150,"Puerto Rico",101496
"141","PRT",132,"Portugal",212274
"142","PRY",189,"Paraguay",25502
"143","QAT",142,"Qatar",171476
"144","ROM",140,"Romania",192711
"145","RUS",170,"Russian Federation",2014775
"146","RWA",51,"Rwanda",7103
"147","SAU",102,"Saudi Arabia",711050
"148","SDN",163,"Sudan",58769
"149","SEN",25,"Senegal",14046
"150","SGP",121,"Singapore",274701
"151","SLB",86,"Solomon Islands",1008
"152","SLE",67,"Sierra Leone",3796
"153","SLV",5,"El Salvador",23864
"154","SRB",179,"Serbia",37489
"155","SSD",39,"South Sudan",10220
"156","STP",98,"São Tomé and Principe",263
"157","SUR",60,"Suriname",5012
"158","SVK",152,"Slovak Republic",91149
"159","SVN",171,"Slovenia",45279
"160","SWE",106,"Sweden",523806
"161","SWZ",68,"Swaziland",3744
"162","SYC",85,"Seychelles",1129
"163","SYR",154,"Syrian Arab Republic",73672
"164","TCD",31,"Chad",12887
"165","TGO",66,"Togo",3814
"166","THA",117,"Thailand",365966
"167","TJK",52,"Tajikistan",6972
"168","TKM",183,"Turkmenistan",35164
"169","TMP",82,"Timor-Leste",1293
"170","TON",96,"Tonga",472
"171","TTO",6,"Trinidad and Tobago",23320
"172","TUN",169,"Tunisia",45662
"173","TUR",81,"Turkey",789257
"174","TUV",103,"Tuvalu",40
"175","TZA",187,"Tanzania",28242
"176","UGA",11,"Uganda",19881
"177","UKR",141,"Ukraine",176309
"178","URY",168,"Uruguay",49920
"179","USA",3,"United States",16244600
"180","UZB",165,"Uzbekistan",51113
"181","VCT",92,"St. Vincent and the Grenadines",713
"182","VEN",114,"Venezuela, RB",381286
"183","VNM",145,"Vietnam",155820
"184","VUT",89,"Vanuatu",787
"185","WSM",93,"Samoa",684
"186","YEM",182,"Yemen, Rep.",35646
"187","ZAF",113,"South Africa",384313
"188","ZAR",18,"Congo, Dem. Rep.",17204
"189","ZMB",9,"Zambia",20678
"190","ZWE",42,"Zimbabwe",9802
