"","CountryCode","CountryName","IncomeGroup"
"1","ABW","Aruba","High income: nonOECD"
"2","ADO","Principality of Andorra","High income: nonOECD"
"3","AFG","Islamic State of Afghanistan","Low income"
"4","AGO","People's Republic of Angola","Lower middle income"
"5","ALB","Republic of Albania","Upper middle income"
"6","ARE","United Arab Emirates","High income: nonOECD"
"7","ARG","Argentine Republic","Upper middle income"
"8","ARM","Republic of Armenia","Lower middle income"
"9","ASM","American Samoa","Upper middle income"
"10","ATG","Antigua and Barbuda","Upper middle income"
"11","AUS","Commonwealth of Australia","High income: OECD"
"12","AUT","Republic of Austria","High income: OECD"
"13","AZE","Republic of Azerbaijan","Upper middle income"
"14","BDI","Republic of Burundi","Low income"
"15","BEL","Kingdom of Belgium","High income: OECD"
"16","BEN","Republic of Benin","Low income"
"17","BFA","Burkina Faso","Low income"
"18","BGD","People's Republic of Bangladesh","Low income"
"19","BGR","Republic of Bulgaria","Upper middle income"
"20","BHR","Kingdom of Bahrain","High income: nonOECD"
"21","BHS","Commonwealth of The Bahamas","High income: nonOECD"
"22","BIH","Bosnia and Herzegovina","Upper middle income"
"23","BLR","Republic of Belarus","Upper middle income"
"24","BLZ","Belize","Lower middle income"
"25","BMU","The Bermudas","High income: nonOECD"
"26","BOL","Plurinational State of Bolivia","Lower middle income"
"27","BRA","Federative Republic of Brazil","Upper middle income"
"28","BRB","Barbados","High income: nonOECD"
"29","BRN","Brunei Darussalam","High income: nonOECD"
"30","BTN","Kingdom of Bhutan","Lower middle income"
"31","BWA","Republic of Botswana","Upper middle income"
"32","CAF","Central African Republic","Low income"
"33","CAN","Canada","High income: OECD"
"34","CHE","Switzerland","High income: OECD"
"35","CHI","Channel Islands","High income: nonOECD"
"36","CHL","Republic of Chile","Upper middle income"
"37","CHN","People's Republic of China","Lower middle income"
"38","CIV","Republic of Côte d'Ivoire","Lower middle income"
"39","CMR","Republic of Cameroon","Lower middle income"
"40","COG","Republic of Congo","Lower middle income"
"41","COL","Republic of Colombia","Upper middle income"
"42","COM","Union of the Comoros","Low income"
"43","CPV","Republic of Cape Verde","Lower middle income"
"44","CRI","Republic of Costa Rica","Upper middle income"
"45","CUB","Republic of Cuba","Upper middle income"
"46","CYM","Cayman Islands","High income: nonOECD"
"47","CYP","Republic of Cyprus","High income: nonOECD"
"48","CZE","Czech Republic","High income: OECD"
"49","DEU","Federal Republic of Germany","High income: OECD"
"50","DJI","Republic of Djibouti","Lower middle income"
"51","DMA","Commonwealth of Dominica","Upper middle income"
"52","DNK","Kingdom of Denmark","High income: OECD"
"53","DOM","Dominican Republic","Upper middle income"
"54","DZA","People's Democratic Republic of Algeria","Upper middle income"
"55","ECU","Republic of Ecuador","Lower middle income"
"56","EGY","Arab Republic of Egypt","Lower middle income"
"57","ERI","State of Eritrea","Low income"
"58","ESP","Kingdom of Spain","High income: OECD"
"59","EST","Republic of Estonia","High income: nonOECD"
"60","ETH","Federal Democratic Republic of Ethiopia","Low income"
"61","FIN","Republic of Finland","High income: OECD"
"62","FJI","Republic of Fiji","Upper middle income"
"63","FRA","French Republic","High income: OECD"
"64","FRO","Faeroe Islands","High income: nonOECD"
"65","FSM","Federated States of Micronesia","Lower middle income"
"66","GAB","Gabonese Republic","Upper middle income"
"67","GBR","United Kingdom of Great Britain and Northern Ireland","High income: OECD"
"68","GEO","Georgia","Lower middle income"
"69","GHA","Republic of Ghana","Low income"
"70","GIN","Republic of Guinea","Low income"
"71","GMB","Republic of The Gambia","Low income"
"72","GNB","Republic of Guinea-Bissau","Low income"
"73","GNQ","Republic of Equatorial Guinea","High income: nonOECD"
"74","GRC","Hellenic Republic","High income: OECD"
"75","GRD","Grenada","Upper middle income"
"76","GRL","Greenland","High income: nonOECD"
"77","GTM","Republic of Guatemala","Lower middle income"
"78","GUM","Guam","High income: nonOECD"
"79","GUY","Republic of Guyana","Lower middle income"
"80","HKG","Hong Kong Special Administrative Region of the People's Republic of China","High income: nonOECD"
"81","HND","Republic of Honduras","Lower middle income"
"82","HRV","Republic of Croatia","High income: nonOECD"
"83","HTI","Republic of Haiti","Low income"
"84","HUN","Republic of Hungary","High income: OECD"
"85","IDN","Republic of Indonesia","Lower middle income"
"86","IMY","Isle of Man","High income: nonOECD"
"87","IND","Republic of India","Lower middle income"
"88","IRL","Ireland","High income: OECD"
